Vernier Format 2
Ni47Cu53_48_43_Fine	16:01  Tuesday, March 07, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.997500002
0.050000004	1.057500005
0.100000009	1.009999990
0.150000006	1.044999957
0.200000018	1.063750029
0.250000000	1.059999943
0.300000012	1.056249976
0.350000024	1.047500014
0.400000036	1.027500033
0.450000018	1.003749967
0.500000000	0.992500007
0.550000012	0.972499967
0.600000024	0.888749957
0.650000036	0.854999959
0.700000048	0.823749959
0.750000060	0.808749974
0.800000072	0.801249981
0.850000024	0.798749983
0.900000036	0.787499964
0.950000048	0.767499983
1.000000000	0.769999981
1.050000072	0.758749962
1.100000024	0.751249969
1.150000095	0.756249964
1.200000048	0.733749986
1.250000119	0.734999955
1.300000072	0.753749967
1.350000024	0.732499957
1.400000095	0.740000010
1.450000048	0.758749962
1.500000119	0.731249988
1.550000072	0.740000010
1.600000143	0.732499957
1.650000095	0.751249969
1.700000048	0.729999959
1.750000119	0.727499962
1.800000072	0.737500012
1.850000143	0.723749995
1.900000095	0.746249974
1.950000048	0.727499962
2.000000000	0.753749967
2.050000191	0.721249998
2.100000143	0.727499962
2.150000095	0.728749990
2.200000048	0.733749986
2.250000000	0.757499993
2.300000191	0.756249964
2.350000143	0.753749967
2.400000095	0.750000000
2.450000048	0.727499962
2.500000238	0.732499957
2.550000191	0.714999974
2.600000143	0.751249969
2.650000095	0.737500012
2.700000048	0.745000005
2.750000238	0.722499967
2.800000191	0.737500012
2.850000143	0.761249959
2.900000095	0.740000010
2.950000048	0.711250007
3.000000238	0.738749981
3.050000191	0.718750000
3.100000143	0.728749990
3.150000095	0.728749990
3.200000286	0.733749986
3.250000238	0.748749971
3.300000191	0.736249983
3.350000143	0.761249959
3.400000095	0.745000005
3.450000286	0.748749971
3.500000238	0.732499957
3.550000191	0.767499983
3.600000143	0.745000005
3.650000095	0.762499988
3.700000286	0.743749976
3.750000238	0.779999971
3.800000191	0.764999986
3.850000143	0.747500002
3.900000095	0.791249990
3.950000286	0.752499998
4.000000000	0.754999995
4.050000191	0.748749971
4.100000381	0.736249983
4.150000095	0.747500002
4.200000286	0.776250005
4.250000000	0.759999990
4.300000191	0.767499983
4.350000381	0.759999990
4.400000095	0.754999995
4.450000286	0.756249964
4.500000000	0.782499969
4.550000191	0.784999967
4.600000381	0.751249969
4.650000095	0.743749976
4.700000286	0.732499957
4.750000477	0.768750012
4.800000191	0.783749998
4.850000381	0.784999967
4.900000095	0.794999957
4.950000286	0.797499955
5.000000477	0.816249967
5.050000191	0.819999993
5.100000381	0.827499986
5.150000095	0.863749981
5.200000286	0.831249952
5.250000477	0.856249988
5.300000191	0.839999974
5.350000381	0.870000005
5.400000095	0.914999962
5.450000286	0.946249962
5.500000477	0.949999988
5.550000191	0.997500002
5.600000381	1.039999962
5.650000095	1.103749990
5.700000286	1.181249976
5.750000477	1.232499957
5.800000191	1.321249962
5.850000381	1.466249943
5.900000095	1.587499976
5.950000286	1.759999990
6.000000477	1.906250000
6.050000191	2.156250000
6.100000381	2.347499847
6.150000095	2.587499857
6.200000286	2.891249895
6.250000477	3.129999876
6.300000191	3.336249828
6.350000381	3.451249838
6.400000572	3.453749895
6.450000286	3.453749895
6.500000477	3.452499866
6.550000191	3.452499866
6.600000381	3.453749895
6.650000572	3.453749895
6.700000286	3.449999809
6.750000477	3.448750019
6.800000191	3.449999809
6.850000381	3.447499990
6.900000572	3.293749809
6.950000286	3.058749914
7.000000477	2.835000038
7.050000191	2.612499952
7.100000381	2.387500048
7.150000572	2.178750038
7.200000286	2.013749838
7.250000477	1.842499971
7.300000191	1.684999943
7.350000381	1.533749938
7.400000572	1.401250005
7.450000286	1.309999943
7.500000477	1.223749995
7.550000191	1.146250010
7.600000381	1.086249948
7.650000572	1.046249986
7.700000286	1.026250005
7.750000477	0.919999957
7.800000191	0.918749988
7.850000381	0.893749952
7.900000572	0.877499998
7.950000286	0.896250010
8.000000000	0.829999983
8.050000191	0.826249957
8.100000381	0.816249967
8.150000572	0.792499959
8.200000763	0.788749993
8.250000000	0.805000007
8.300000191	0.810000002
8.350000381	0.803749979
8.400000572	0.757499993
8.450000763	0.754999995
8.500000000	0.791249990
8.550000191	0.788749993
8.600000381	0.778750002
8.650000572	0.763749957
8.700000763	0.750000000
8.750000000	0.736249983
8.800000191	0.750000000
8.850000381	0.724999964
8.900000572	0.737500012
8.950000763	0.738749981
9.000000000	0.753749967
9.050000191	0.746249974
9.100000381	0.773750007
9.150000572	0.776250005
9.200000763	0.741249979
9.250000954	0.750000000
9.300000191	0.736249983
9.350000381	0.726249993
9.400000572	0.724999964
9.450000763	0.707499981
9.500000954	0.723749995
9.550000191	0.718750000
9.600000381	0.726249993
9.650000572	0.699999988
9.700000763	0.709999979
9.750000954	0.693749964
9.800000191	0.698749959
9.850000381	0.709999979
9.900000572	0.685000002
9.950000763	0.685000002
10.000000954	0.727499962
